activity_date,workload_id,environment,business_driver,demand_index,traffic,transactions,queries,support_requests,ai_requests,api_requests,active_customers,revenue
2025-07-01,analytics-nonprod,nonprod,queries,1.130258,37976.65,1708.95,3164.72,227.86,569.65,151906.61,5316.73,133298.05
2025-07-01,analytics-prod,prod,queries,1.170166,112335.92,5055.12,9361.33,674.02,1685.04,449343.66,15727.03,394299.06
2025-07-01,checkout-nonprod,nonprod,transactions,1.245286,62762.39,5230.2,1255.25,376.57,941.44,251049.56,8786.73,407955.53
2025-07-01,checkout-prod,prod,transactions,1.081292,155705.98,12975.5,3114.12,934.24,2335.59,622823.94,21798.84,1012088.9
2025-07-01,recommendations-prod,prod,ai_requests,0.95595,103242.65,4645.92,2064.85,619.46,8603.55,412970.6,14453.97,362381.7
2025-07-01,shared-platform-nonprod,nonprod,traffic,1.23755,64971.4,2923.71,1299.43,389.83,974.57,259885.6,9096.0,228049.61
2025-07-01,shared-platform-prod,prod,traffic,1.176663,176499.39,7942.47,3529.99,1059.0,2647.49,705997.57,24709.91,619512.87
2025-07-01,storefront-nonprod,nonprod,traffic,1.207733,50724.8,2282.62,1014.5,304.35,760.87,202899.2,7101.47,178044.05
2025-07-01,storefront-prod,prod,traffic,1.100019,132002.33,5940.1,2640.05,792.01,1980.03,528009.31,18480.33,463328.17
2025-07-01,support-nonprod,nonprod,support_requests,0.995994,10039.62,451.78,200.79,836.63,150.59,40158.46,1405.55,35239.05
2025-07-01,support-prod,prod,support_requests,1.137374,32756.37,1474.04,655.13,2729.7,491.35,131025.47,4585.89,114974.85
2025-07-02,analytics-nonprod,nonprod,queries,1.15587,38837.25,1747.68,3236.44,233.02,582.56,155348.99,5437.21,136318.74
2025-07-02,analytics-prod,prod,queries,0.95565,91742.43,4128.41,7645.2,550.45,1376.14,366969.74,12843.94,322015.95
2025-07-02,checkout-nonprod,nonprod,transactions,0.953477,48055.22,4004.6,961.1,288.33,720.83,192220.88,6727.73,312358.93
